lat,lon
45.5237433,9.0668366
45.5010095,9.1932794
45.5010095,9.1932794
45.4980918,9.1814716
45.4978095,9.1745235
45.4998446,9.1772095
45.5073509,9.1277583
45.5010095,9.1932794
45.500633,9.1691499
45.5073509,9.1277583
45.4998069,9.1691373
45.49671499999999,9.1763672
45.49432,9.18263
45.46929979999999,9.2116285
45.48220569999999,9.1969622
45.4696946,9.2101711
45.47906760000001,9.1920313
45.4667798,9.2131116
45.480068,9.189926
45.4806908,9.2111959
45.4773313,9.2017231
45.480068,9.189926
45.5073509,9.1277583
45.4844337,9.2049439
45.4769525,9.2096969
45.4788475,9.1982514
45.4773313,9.2017231
45.4735744,9.1993563
45.47949980000001,9.1990462
45.3912756,9.2470864
45.4804417,9.2037237
45.480677,9.2058802
45.3912756,9.2470864
45.4811556,9.1987405
45.480677,9.2058802
45.480239,9.1966625
45.5073509,9.1277583
45.48971969999999,9.189263
45.5073509,9.1277583
45.49034049999999,9.1958622
45.49375029999999,9.1943072
45.49211829999999,9.193179
45.49034049999999,9.1958622
45.4933169,9.1921479
45.490643,9.1887315
